title,developer,publisher,year,hidden
Knight Rider,Pack-In-Video,"Pack-In-Video (JP)
Acclaim Entertainment (NA/PAL)",1989,FALSE
Krusty's Fun House,Audiogenic,Acclaim Entertainment,1992,FALSE
"Kung Fu
Spartan X (JP)",Nintendo,Nintendo,1985,FALSE
"Kung-Fu Heroes
Super Chinese (JP)",Culture Brain,"Namco (JP)
Culture Brain (NA)",1989,FALSE
L'Empereur,Koei,Koei,1991,FALSE
"Laser Invasion
Gun Sight (JP)",Konami,Konami,1991,FALSE
Last Action Hero,Teeny Weeny Games,Sony Imagesoft,1993,FALSE
"Lee Trevino's Fighting Golf
Fighting Golf (JP)",SNK,SNK,1988,FALSE
"Legacy of the Wizard
Dragon Slayer IV: Drasle Family (JP)",Nihon Falcom,"Namco (JP)
Brøderbund (NA)",1989,FALSE
"Legend of the Ghost Lion
White Lion Densetsu (JP)",Kemco,Kemco,1992,FALSE
Legendary Wings,Capcom,Capcom,1988,FALSE
Legends of the Diamond,Tose,Bandai,1992,FALSE
Lemmings,Ocean Software,Sunsoft,1992,FALSE
Lethal Weapon,Eurocom,Ocean Software,1993,FALSE
"Life Force
Salamander (JP)
Life Force Salamander (PAL)",Konami,Konami,1988,FALSE
Little League Baseball: Championship Series,SNK,SNK,1990,FALSE
"Little Nemo: The Dream Master
Pajama Hero Nemo (JP)",Capcom,"Capcom (JP/NA)
Nintendo (PAL)",1990,FALSE
"Little Ninja Brothers
Super Chinese 2 (JP)",Culture Brain,Culture Brain,1991,FALSE
"Little Samson
Seirei Densetsu Lickle (JP)",Takeru,Taito,1992,FALSE
Lode Runner,Hudson Soft,"Hudson Soft (JP)
Brøderbund (NA)",1987,FALSE
Loopz,"Audiogenic
Bits Studios",Mindscape,1990,FALSE
Low G Man: The Low Gravity Man,KID,"Taxan (NA)
Nintendo (PAL)",1990,FALSE
"Lunar Pool
Lunar Ball (JP)",Compile,"Pony Canyon (JP)
FCI (NA/PAL)",1987,FALSE
"M.C. Kids
McDonaldland (PAL)",Virgin Games,"Virgin Games (NA)
Ocean Software (PAL)",1992,FALSE
M.U.L.E.,Eastridge Technology,Mindscape,1990,FALSE
"M.U.S.C.L.E. Tag Team Match
M.U.S.C.L.E.
Kinnikuman: Muscle Tag Match (JP)",Tose,Bandai,1986,FALSE
Mach Rider,HAL Laboratory,Nintendo,1986,FALSE
Mad Max,Eastridge Technology,Mindscape,1990,FALSE
MagMax,Nihon Bussan,"Nihon Bussan (JP)
FCI (NA)",1988,FALSE
Magic Darts,SETA,"SETA (JP)
Romstar (NA)",1991,FALSE
Magic Johnson's Fast Break,Software Creations,Tradewest,1990,FALSE
Magician,Eurocom,Taxan,1991,FALSE
Major League Baseball,Atlus,LJN,1988,FALSE
